"fPoint [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
0,10,0,-3,-1.4545142117426
0,10,0,-2,-0.639370654015894
0,10,0,-1,-0.159201521920963
0,10,0,0,0
0,10,0,1,-0.157378848074047
0,10,0,2,-0.635965796073441
0,10,0,3,-1.45005632406138
0,10,0,4,-2.62573052292807
0,10,0,5,-4.20513909167541
0,10,0,6,-6.25451303521658
0,10,0,7,-8.8789248861306
0,10,0,8,-12.2475265940852
0,10,0,9,-16.6076048840049
0,10,0,10,-21.8912193991796
0,10,0,11,-24.8123332780313
0,10,0,12,-23.5546789924844
0,10,0,13,-22.7456440845086
0,10,0,14,-23.319529351392
0,10,0,15,-25.2409245873521
0,10,0,16,-28.4834508500733
0,10,0,17,-31.9270563223947
0,10,0,18,-31.6412539771206
0,10,0,19,-29.5695968939287
0,10,0,20,-28.5514944739053
0,10,0,21,-28.8351648734158
0,10,0,22,-30.4432568915112
0,10,0,23,-33.7094465624925
0,10,0,24,-40.0056598324649
0,10,0,25,-57.1163007875495
0,10,0,26,-42.31239443499
0,10,0,27,-38.6002285155332
0,10,0,28,-38.2396909615915
0,10,0,29,-40.3666877287281
0,10,0,30,-46.4504174608834
0,10,0,31,-59.0507897603302
0,10,0,32,-43.8939477624026
0,10,0,33,-39.7364450149415
0,10,0,34,-38.2907299076885
0,10,0,35,-38.504716606456
0,10,0,36,-40.1111474371974
0,10,0,37,-42.7536682414907
0,10,0,38,-44.2023799747071
0,10,0,39,-42.4369806696411
0,10,0,40,-40.4450755239207
0,10,0,41,-39.5614410226496
0,10,0,42,-39.8116524682289
0,10,0,43,-40.9594724025334
0,10,0,44,-42.1495494513546
0,10,0,45,-41.7949808164741
0,10,0,46,-40.2037082215903
0,10,0,47,-38.9548482484313
0,10,0,48,-38.7326550606159
0,10,0,49,-39.8522627603174
0,10,0,50,-42.9075035998522
0,10,0,51,-49.7121002253064
0,10,0,52,-50.2454368412987
0,10,0,53,-43.2475493504685
0,10,0,54,-40.2164094003233
0,10,0,55,-39.3674490306219
0,10,0,56,-40.3601605910043
0,10,0,57,-43.8242758197271
0,10,0,58,-53.7763967176767
0,10,0,59,-48.1917912835509
0,10,0,60,-41.0666136342781
0,10,0,61,-37.9268642794064
0,10,0,62,-36.6638949150205
0,10,0,63,-36.8047814296887
0,10,0,64,-38.3440990158467
0,10,0,65,-41.5133410241321
0,10,0,66,-45.0471455550976
0,10,0,67,-42.7814048842469
0,10,0,68,-39.3187194215541
0,10,0,69,-37.4930264579904
0,10,0,70,-37.0917926882519
0,10,0,71,-37.9355850881455
0,10,0,72,-39.9332573482816
0,10,0,73,-42.5209007661174
0,10,0,74,-43.4053189983746
